"country_name" "ln_urb" "ln_events" "ln_fert" "hdi" "ln_pop" "ln_death_risk" "death_risk"
"52" "Guinea" 3.42589 1.791759 1.856298 0.455999986077295 4.97903 -1.76015399973273 0.172018371
"53" "Guinea Bissau" 3.308107 1.609438 1.960095 0.362000024310605 3.250375 -2.15176200345948 0.116279093
"54" "Guyana" 3.349904 1.386294 1.294727 0.724500012476904 2.533697 0.992663700129317 2.69841267
"55" "Haiti" 3.582129 3.78419 1.568616 0.508000015953057 5.033049 3.86093500007262 47.50975223
"56" "Honduras" 3.78646 3.496508 1.686399 0.676499953572682 4.701086 4.93824100003916 139.5246098
"57" "Hong Kong (China)" 4.587854 2.833213 0.6418539 0.911499986203007 4.777442 0.0428401004539099 1.043770983
"58" "Hungary" 4.18383 2.890372 0.5306282 0.845500008999081 5.210215 -1.03582700042053 0.35493273
"59" "India" 3.312973 5.198497 1.435084 0.585000018573914 9.833101 0.828619200012058 2.290154311
"60" "Indonesia" 3.768153 4.356709 1.348073 0.699000025687081 8.234159 0.0752725998543864 1.078178022
"61" "Iran Islam Rep" 4.148938 4.043051 1.446919 0.726000046578231 7.028969 0.588790100181396 1.80180709
"62" "Ireland" 4.083452 2.639057 1.064711 0.928499998318836 4.259859 -1.36948699947021 0.25423735
"63" "Israel" 4.508292 1.609438 1.20896 0.911499986203007 4.696837 -1.56134299941956 0.209854048
"64" "Italy" 4.208665 3.218876 0.5877866 0.925500043469426 6.950943 -1.74693600200882 0.174307203
"65" "Jamaica" 3.943522 2.833213 1.335001 0.731999974395245 3.834422 0.414073500020002 1.512968326
"66" "Japan" 4.16356 4.276666 0.5306282 0.94099994297235 7.717588 -0.732872199894215 0.480526837
"67" "Jordan" 4.35927 1.94591 1.731656 0.741500012905178 4.465908 -1.20781200128704 0.298850449
"68" "Kazakhstan" 4.034535 1.791759 1.011601 0.759000001204159 5.598175 -0.78599069947515 0.455668048
"69" "Kenya" 2.965273 3.526361 1.871802 0.532500043344733 6.340594 0.512704700195543 1.669801405
"70" "Korea Rep" 4.321923 3.806663 1.011601 0.891000045896594 6.709548 0.728835299906113 2.072665168
"71" "Kyrgyzstan" 3.589059 1.386294 1.280934 0.695999943378814 4.468968 -2.38952699966952 0.091673035
"72" "Lao P Dem Rep" 2.945316 2.70805 1.609438 0.562499969008254 4.535463 0.191924999930779 1.211579645
"73" "Lebanon" 4.422849 1.098612 1.266948 0.75100002044072 4.214594 -0.995717800758812 0.369458152
"74" "Lesotho" 2.855512 2.197225 1.568616 0.582499996238379 3.496508 -0.361013400015593 0.696969659
"75" "Lithuania" 4.171048 1.791759 0.5877866 0.826499968362455 4.108685 -2.02924400261293 0.131434848
"76" "Macedonia FRY" 4.187379 2.197225 0.8329091 0.801000025562936 3.555348 -2.45673600282133 0.085714266
"77" "Madagascar" 3.220874 3.555348 1.791759 0.498000000974827 5.70089 1.68558100006337 5.395584857
"78" "Malawi" 2.748339 3.258096 1.902107 0.4405000148034 5.353121 1.63066899997537 5.107290353
"79" "Malaysia" 4.133031 3.401197 1.398717 0.787000024054446 6.035322 0.000159500279154213 1.000159513
"80" "Mali" 3.336363 2.772589 1.967112 0.350499850163908 5.237151 -1.47595099954879 0.228561262
"81" "Mauritania" 3.613617 2.772589 1.740466 0.51849997475556 3.878122 0.0136989001404733 1.01379316
"82" "Mauritius" 3.751071 1.94591 0.9360933 0.777500027157102 3.025291 -0.72270599970149 0.485436885
"83" "Mexico" 4.301359 4.41884 1.492904 0.807500019287401 7.457071 0.35287650007628 1.423155373
"84" "Moldova Rep" 3.805551 2.197225 0.7178398 0.695999943378814 4.246589 -0.119454300316482 0.887404561
"85" "Mongolia" 4.013978 2.564949 1.547562 0.669000012613265 3.756538 1.26734200006896 3.551400384
"86" "Morocco" 4.011265 2.833213 1.547562 0.613500009098923 6.224558 0.726256399789828 2.067326858
"87" "Mozambique" 3.407842 3.496508 1.800058 0.359500036604664 5.817111 1.40179900008652 4.062501838
"88" "Myanmar" 3.383825 2.772589 1.398717 0.582999995704249 6.68877 5.11841299999447 167.070019
"89" "Namibia" 3.50255 2.564949 1.629241 0.674000045879067 3.476099 -0.0103627998167967 0.989690709
"90" "Nepal" 2.636674 2.944439 1.558145 0.501500035897445 6.092365 2.03798799998918 7.675151249
"91" "Netherlands" 4.348556 2.833213 0.6418539 0.943500013372728 5.651553 -2.09620500264413 0.122922033
"92" "New Zealand" 4.450075 3.091043 0.8754688 0.925500043469426 4.25514 -1.95255500227403 0.141911025
"93" "Nicaragua" 4.048592 3.135494 1.589235 0.673499988639212 4.49981 3.71735899989585 41.15555862
